[DEBUG] 2020-02-17 10:32:25.031 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 10:32:25.072 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 10:32:25.165 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 10:32:25.658 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 10:32:25.679 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 10:32:27.014 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-17 10:32:27.029 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-17 10:32:27.057 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 10:32:28.888 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 10:32:29.005 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 10:32:29.009 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-17 10:32:29.048 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-17 10:32:29.128 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@73eb8672
[DEBUG] 2020-02-17 10:32:29.129 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@73eb8672
[DEBUG] 2020-02-17 10:32:29.129 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@73eb8672
[DEBUG] 2020-02-17 10:32:29.133 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5a865416
[DEBUG] 2020-02-17 10:32:29.135 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6e92c6ad
[DEBUG] 2020-02-17 10:32:29.137 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5baaae4c
[DEBUG] 2020-02-17 10:32:29.139 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@27e32fe4
[DEBUG] 2020-02-17 10:32:29.140 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@27e32fe4
[DEBUG] 2020-02-17 10:32:29.140 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@27e32fe4
[DEBUG] 2020-02-17 10:32:29.142 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3044e9c7
